[2025-09-13 12:29:56] ✅ Đã lưu text từ 000000014205414_Bao_cao_tai_chinh_Cong_ty_me_quy_3_nam_2024.pdf vào folder_2.5_txt\000000014205414_Bao_cao_tai_chinh_Cong_ty_me_quy_3_nam_2024.txt
[2025-09-13 12:29:58] ✅ Đã lưu text từ 000000014205734_VVS_Bao_cao_tai_chinh_Quy_3_nam_2024_dks.pdf vào folder_2.5_txt\000000014205734_VVS_Bao_cao_tai_chinh_Quy_3_nam_2024_dks.txt
[2025-09-13 12:30:13] ✅ Đã lưu text từ 000000014206439_PXTCBTT_Bao_cao_tai_chinh_Q32024.pdf vào folder_2.5_txt\000000014206439_PXTCBTT_Bao_cao_tai_chinh_Q32024.txt
[2025-09-13 12:30:15] ✅ Đã lưu text từ 000000014206226_Bao_cao_tai_chinh_Quy_3_nam_2024_Signed.pdf vào folder_2.5_txt\000000014206226_Bao_cao_tai_chinh_Quy_3_nam_2024_Signed.txt
[2025-09-13 12:30:25] ✅ Đã lưu text từ 000000014206693_Bao_cao_tai_chinh_Quy_3_nam_2024.pdf vào folder_2.5_txt\000000014206693_Bao_cao_tai_chinh_Quy_3_nam_2024.txt
[2025-09-13 12:30:33] ✅ Đã lưu text từ 000000014206840_Bao_cao_tai_chinh_quy_3.2024.pdf vào folder_2.5_txt\000000014206840_Bao_cao_tai_chinh_quy_3.2024.txt
[2025-09-13 12:30:36] ✅ Đã lưu text từ 000000014206536_HLC_Bao_cao_tai_chinh_Quy_III_nam_2024.pdf vào folder_2.5_txt\000000014206536_HLC_Bao_cao_tai_chinh_Quy_III_nam_2024.txt
[2025-09-13 12:30:42] ✅ Đã lưu text từ 000000014207054_1.2s_Cong_bo_thong_tin_dinh_ky_va_BCTC__Q32024.pdf vào folder_2.5_txt\000000014207054_1.2s_Cong_bo_thong_tin_dinh_ky_va_BCTC__Q32024.txt
[2025-09-13 12:30:54] ✅ Đã lưu text từ 000000014207119_CBTTBCTC_Quy_IIIsign.pdf vào folder_2.5_txt\000000014207119_CBTTBCTC_Quy_IIIsign.txt
[2025-09-13 12:31:02] ✅ Đã lưu text từ 000000014207233_Bao_cao_tai_chinh_quy_3.2024_Signed.pdf vào folder_2.5_txt\000000014207233_Bao_cao_tai_chinh_quy_3.2024_Signed.txt
[2025-09-13 12:31:04] ✅ Đã lưu text từ 000000014207437_BCTC_quy_3.2024_sign.pdf vào folder_2.5_txt\000000014207437_BCTC_quy_3.2024_sign.txt
[2025-09-13 12:31:06] ✅ Đã lưu text từ 000000014207587_CBTT_Bao_cao_tai_chinh_Quy_3_nam_2024.pdf vào folder_2.5_txt\000000014207587_CBTT_Bao_cao_tai_chinh_Quy_3_nam_2024.txt
[2025-09-13 12:31:34] ✅ Đã lưu text từ 000000014208597_BCTC_Hop_nhat_Quy_III_nam_2024_ky.pdf vào folder_2.5_txt\000000014208597_BCTC_Hop_nhat_Quy_III_nam_2024_ky.txt
[2025-09-13 12:31:37] ✅ Đã lưu text từ 000000014209012_BCTC_HOP_NHAT_QUY_III.2024_KY_SO.pdf vào folder_2.5_txt\000000014209012_BCTC_HOP_NHAT_QUY_III.2024_KY_SO.txt
[2025-09-13 12:31:41] ✅ Đã lưu text từ 000000014207703_BCTC_QIII.pdf vào folder_2.5_txt\000000014207703_BCTC_QIII.txt
[2025-09-13 12:31:57] ✅ Đã lưu text từ 000000014209182_THT_Cong_bo_thong_tin_dinh_ky_bao_cao_tai_chinh_quy_3_nam_2024.pdf vào folder_2.5_txt\000000014209182_THT_Cong_bo_thong_tin_dinh_ky_bao_cao_tai_chinh_quy_3_nam_2024.txt
